user_id,total_orders,unique_families,unique_cuisines,total_spent,avg_item_price,pct_veg,diversity_factor,avg_spent_per_order,top_dish_family,segment,city,is_veg,price_sensitivity
U00001,23,13,2,27325,420.38461538461536,0.18461538461538463,0.5652173913043478,1188.0434782608695,Brownie,regular,Hyderabad,False,high
U00002,23,19,4,17605,288.60655737704917,0.2786885245901639,0.8260869565217391,765.4347826086956,Pizza,occasional,Kolkata,False,medium
U00003,28,17,3,23380,281.68674698795184,0.4939759036144578,0.6071428571428571,835.0,Wrap,premium,Delhi,False,low
U00004,35,9,4,9345,194.6875,1.0,0.2571428571428571,267.0,Burger,regular,Kolkata,True,low
U00005,31,4,2,12320,362.3529411764706,1.0,0.12903225806451613,397.4193548387097,Biryani,budget,Hyderabad,True,medium
U00006,24,10,2,5325,147.91666666666666,0.2222222222222222,0.4166666666666667,221.875,Noodles,budget,Pune,False,high
U00007,22,10,2,8830,315.35714285714283,0.17857142857142858,0.45454545454545453,401.3636363636364,Pizza,budget,Mumbai,False,high
U00008,22,11,4,6350,138.04347826086956,1.0,0.5,288.6363636363636,Rice,premium,Pune,True,low
U00009,20,11,3,4275,89.0625,1.0,0.55,213.75,Noodles,regular,Kolkata,True,high
U00010,32,6,4,10770,215.4,1.0,0.1875,336.5625,Gulab Jamun,premium,Mumbai,True,low
U00011,25,7,4,6245,201.4516129032258,1.0,0.28,249.8,Gulab Jamun,budget,Bangalore,True,medium
U00012,20,16,3,16930,297.0175438596491,0.3333333333333333,0.8,846.5,Biryani,occasional,Chennai,False,medium
U00013,21,17,3,9465,147.890625,0.140625,0.8095238095238095,450.7142857142857,Vada Pav,premium,Pune,False,medium
U00014,27,4,1,8890,206.74418604651163,1.0,0.14814814814814814,329.25925925925924,Noodles,budget,Hyderabad,True,high
U00015,32,19,4,11505,221.25,0.5961538461538461,0.59375,359.53125,Salad,budget,Bangalore,False,high
U00016,24,14,3,12395,335.0,0.24324324324324326,0.5833333333333334,516.4583333333334,Dosa,budget,Chennai,False,high
U00017,25,7,1,9495,146.07692307692307,0.24615384615384617,0.28,379.8,Curry,regular,Hyderabad,False,low
U00018,27,14,4,13505,270.1,1.0,0.5185185185185185,500.18518518518516,Biryani,regular,Delhi,True,medium
U00019,20,8,3,9720,243.0,1.0,0.4,486.0,Gulab Jamun,regular,Hyderabad,True,low
U00020,18,16,3,5215,200.57692307692307,0.38461538461538464,0.8888888888888888,289.72222222222223,Biryani,budget,Mumbai,False,low
U00021,25,11,2,18325,273.5074626865672,0.13432835820895522,0.44,733.0,Pizza,regular,Mumbai,False,medium
U00022,20,9,3,5155,166.29032258064515,0.41935483870967744,0.45,257.75,Paneer Dish,budget,Delhi,False,low
U00023,28,6,3,7495,182.8048780487805,1.0,0.21428571428571427,267.67857142857144,Gulab Jamun,budget,Bangalore,True,high
U00024,19,11,3,9410,254.32432432432432,1.0,0.5789473684210527,495.2631578947368,Noodles,regular,Chennai,True,high
U00025,20,4,2,6755,293.69565217391306,1.0,0.2,337.75,Chaat,regular,Hyderabad,True,high
U00026,14,7,3,3195,145.22727272727272,1.0,0.5,228.21428571428572,Pizza,premium,Mumbai,True,high
U00027,32,14,3,9850,229.06976744186048,0.7209302325581395,0.4375,307.8125,Salad,budget,Bangalore,False,medium
U00028,27,13,2,17260,213.08641975308643,0.38271604938271603,0.48148148148148145,639.2592592592592,Sambar,regular,Delhi,False,low
U00029,28,18,3,11705,154.01315789473685,0.18421052631578946,0.6428571428571429,418.0357142857143,Raita,regular,Kolkata,False,high
U00030,28,9,3,5515,137.875,1.0,0.32142857142857145,196.96428571428572,Juice,budget,Pune,True,low
U00031,24,6,1,14750,230.46875,0.109375,0.25,614.5833333333334,Burger,regular,Kolkata,False,high
U00032,26,9,2,7655,186.70731707317074,0.04878048780487805,0.34615384615384615,294.4230769230769,Burger,budget,Kolkata,False,medium
U00033,21,6,2,5260,181.3793103448276,0.27586206896551724,0.2857142857142857,250.47619047619048,Ice Cream,budget,Mumbai,False,medium
U00034,25,7,4,9305,232.625,1.0,0.28,372.2,Biryani,occasional,Delhi,True,medium
U00035,25,20,4,19315,284.04411764705884,0.29411764705882354,0.8,772.6,Biryani,occasional,Hyderabad,False,low
U00036,22,13,2,19620,272.5,0.20833333333333334,0.5909090909090909,891.8181818181819,Burger,premium,Kolkata,False,medium
U00037,27,18,3,20475,273.0,0.17333333333333334,0.6666666666666666,758.3333333333334,Fried Rice,regular,Kolkata,False,low
U00038,33,17,4,10475,227.7173913043478,0.30434782608695654,0.5151515151515151,317.42424242424244,Pizza,budget,Chennai,False,low
U00039,28,7,2,12960,212.45901639344262,1.0,0.25,462.85714285714283,Gulab Jamun,regular,Mumbai,True,medium
U00040,29,2,2,12000,260.8695652173913,1.0,0.06896551724137931,413.7931034482759,Gulab Jamun,regular,Mumbai,True,medium
U00041,31,11,2,12205,271.22222222222223,0.1111111111111111,0.3548387096774194,393.7096774193548,Biryani,budget,Hyderabad,False,medium
U00042,24,7,4,12775,271.8085106382979,1.0,0.2916666666666667,532.2916666666666,Gulab Jamun,regular,Pune,True,high
U00043,21,3,2,4480,203.63636363636363,1.0,0.14285714285714285,213.33333333333334,Chaat,budget,Bangalore,True,low
U00044,26,22,4,13725,198.91304347826087,0.42028985507246375,0.8461538461538461,527.8846153846154,Pizza,occasional,Chennai,False,high
U00045,30,10,3,6250,164.47368421052633,1.0,0.3333333333333333,208.33333333333334,Salad,budget,Mumbai,True,medium
U00046,28,8,2,14125,217.30769230769232,1.0,0.2857142857142857,504.4642857142857,Noodles,regular,Chennai,True,low
